Matrícula,Titulado em
82686,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
82775,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
82881,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
82961,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
83071,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
86134,TRIBUNAL DE JUSTICA DO ESTADO DO PARA
167291,Vara Agraria da Comarca de Altamira
113654,Vara Agraria da Comarca de Castanhal
48682,Vara Agraria da Comarca de Redencao
37230,Vara Civel e Criminal Distrital de Mosqueiro
190551,Vara Civel e Empresarial da Comarca de Dom Eliseu
203963,Vara Civel e Empresarial da Comarca de Sao Felix do Xingu
149187,Vara Criminal da Comarca de Abaetetuba
151181,Vara Criminal da Comarca de Barcarena
48755,Vara Criminal da Comarca de Benevides
136581,Vara Criminal da Comarca de Braganca
167304,Vara Criminal da Comarca de Canaa dos Carajas
44940,Vara Criminal da Comarca de Capanema
190357,Vara Criminal da Comarca de Dom Eliseu
82953,Vara Criminal da Comarca de Marituba
82627,Vara Criminal da Comarca de Paragominas
149373,Vara Criminal da Comarca de Redencao
167321,Vara Criminal da Comarca de Santa Izabel do Para
204111,Vara Criminal da Comarca de Sao Felix do Xingu
116076,Vara Criminal da Comarca de Tucurui
116327,Vara Criminal e de Execucoes Fiscais da Comarca de Conceicao do Araguaia
82635,Vara da Fazenda Publica e Execucao Fiscal de Parauapebas
2712,Vara da Infancia e Juventude Distrital de Icoaraci
37210,Vara de Combate ao Crime Organizado da Comarca de Belem
44960,Vara de Crimes contra Crianca e Adolescente da Comarca de Ananindeua
30236,Vara de Crimes contra Criancas e Adolescentes de Belem
60232,Vara de Crimes contra o Consumidor e a Ordem Tributaria da Comarca de Belem
27367,Vara de Execucao das Penas e Medidas Alternativas da Comarca de Belem
37070,Vara de Execucao Penal da Regiao Metropolitana de Belem
7609,Vara de Familia Distrital de Icoaraci
70815,"Vara de Familia, Sucessoes e Registros Publicos da Comarca de Maraba"
8311,Vara de Juiz(a) das Garantias da Regiao Metropolitana de Belem
82872,Vara de Juizado Especial Civel e Criminal da Comarca de Altamira
116203,Vara de Juizado Especial Civel e Criminal da Comarca de Conceicao do Araguaia
