Matrícula,Atuando em,Movimentação
197378,Comissao Gestora de Precedentes e de Acoes Coletivas - COGEPAC,
37150,Comissao Gestora de Precedentes e de Acoes Coletivas - COGEPAC,
9407,Comissao Gestora de Precedentes e de Acoes Coletivas - COGEPAC,
214353,Comissao Gestora do Plano de Gestao e Logistica Sustentavel do TJPA,
140058,Comissao Gestora do Premio CNJ de Qualidade no Ambito do TJPA,
22969,Comissao Gestora do Premio CNJ de Qualidade no Ambito do TJPA,
24503,Comissao Gestora do Premio CNJ de Qualidade no Ambito do TJPA,
30252,Comissao Gestora do Premio CNJ de Qualidade no Ambito do TJPA,
37150,Comissao Gestora do Premio CNJ de Qualidade no Ambito do TJPA,
6700,Comissao Gestora do Premio CNJ de Qualidade no Ambito do TJPA,
7536,Comissao Gestora do Premio CNJ de Qualidade no Ambito do TJPA,
7986,Comissao para implementacao da Central Integrada de Processo Judicial Eletronico (CIPREJ),DESIGNADO
6700,Comissao Permanente de Acessibilidade e Inclusao,
36840,Comissao Permanente de Monitoramento Estudo e Assessoramento das Questões Ligadas a Grilagem,
30139,Comissao Permanente de Seguranca Institucional,
38930,Comissao Permanente de Seguranca Institucional,
7536,Comissao Permanente de Seguranca Institucional,
949,Comissao Permanente de Seguranca Institucional,
140058,Comissao Recursal do TJPA,
6700,Comissao Recursal do TJPA,
8176,Comissao Recursal do TJPA,
9407,Comissao Recursal do TJPA,
197025,Comite de Equidade e Diversidade do PJEPA,
197050,Comite de Equidade e Diversidade do PJEPA,
214353,Comite de Governanca de Seguranca da Informacao do TJPA,
7536,Comite de Governanca de Seguranca da Informacao do TJPA,
136573,Comite de Governanca de Tecnologia da Informacao e Comunicacao do Poder Judiciario do Estado do Para,DESIGNADO
30155,Comite Deliberativo da Participacao Feminina no Ambito Institucional,
22969,Comite Estadual de Precatorios,
214353,Comite Gestor da Plataforma Digital do Poder Judiciario,
22969,Comite Gestor da Plataforma Digital do Poder Judiciario,
30252,Comite Gestor da Plataforma Digital do Poder Judiciario,
37150,Comite Gestor da Plataforma Digital do Poder Judiciario,
7986,Comite Gestor da Plataforma Digital do Poder Judiciario,
214353,Comite Gestor de Protecao de Dados Pessoais,
22969,Comite Gestor de Protecao de Dados Pessoais,
30252,Comite Gestor de Protecao de Dados Pessoais,
149314,Comite Gestor do Programa Amigo da Justica,
25208,Comite Gestor do Programa Amigo da Justica,
37150,Comite Gestor do Programa Amigo da Justica,
39360,Comite Gestor do Programa Amigo da Justica,
5266,Comite Gestor do Programa Amigo da Justica,
6700,Comite Gestor do Programa Amigo da Justica,
70734,Comite Gestor do Programa Amigo da Justica,
82929,Comite Gestor do Programa Amigo da Justica,
153842,Comite Gestor Local da Primeira Infancia,
24503,Comite Gestor Local da Primeira Infancia,
30155,Comite Gestor Local da Primeira Infancia,
37090,Comite Gestor Local da Primeira Infancia,
4596,Comite Gestor Local da Primeira Infancia,
6440,Comite Gestor Local da Primeira Infancia,
6700,Comite Gestor Local da Primeira Infancia,
